노선번호,노선아이디,순번,정류소명,정류소번호,아이에스씨 번호,정류소구간거리,정류소간누적거리,주요경유지여부,상_하행
M6405,165000215,1,웰카운티,38353,2802358,0,0,N,상행
M6405,165000215,2,센트럴파크역,38397,2803772,2130,2130,N,상행
M6405,165000215,3,송도자이하버뷰1단지,38468,2805058,1674,3804,N,상행
M6405,165000215,4,송도더샵퍼스트월드(동문),38013,2802601,851,4655,N,상행
M6405,165000215,5,풍림2.3차아파트,38350,2802361,400,5055,N,상행
M6405,165000215,6,한진아파트,38016,2802598,950,6005,N,상행
M6405,165000215,7,연세대송도캠퍼스입구,38489,2805538,335,6340,N,상행
M6405,165000215,8,정왕IC(미정차),92001,2807553,6334,12674,N,상행
M6405,165000215,9,월곶JC(미정차),70207,2807546,2182,14856,N,상행
M6405,165000215,10,연성IC(미정차),70208,2807542,4363,19219,N,상행
M6405,165000215,11,물왕TG(미정차),70223,2807517,2400,21619,N,상행
M6405,165000215,12,조남JC(미정차),70210,2807554,5593,27212,N,상행
M6405,165000215,13,평촌IC(미정차),54012,2807558,8939,36151,N,상행
M6405,165000215,14,학의JC(미정차),72008,2807561,3446,39597,N,상행
M6405,165000215,15,과천터널(미정차),72006,2807500,1789,41386,N,상행
M6405,165000215,16,과천IC(미정차),66011,2807499,2637,44023,N,상행
M6405,165000215,17,대공원고가(미정차),66008,2807509,2024,46047,N,상행
M6405,165000215,18,선바위역,66002,2800107,1830,47877,N,상행
M6405,165000215,19,서초아트자이아파트,31050,2803386,5021,52898,N,상행
M6405,165000215,20,서초역1번출구,31007,2803399,822,53720,N,상행
M6405,165000215,21,교대역,31013,2803395,676,54396,N,상행
M6405,165000215,22,강남역서초현대타워앞,31016,2803392,1275,55671,N,상행
M6405,165000215,23,"래미안아파트,파이낸셜뉴스",22905,2808552,492,56163,N,하행
M6405,165000215,24,양재역,31073,2805673,1107,57270,N,하행
M6405,165000215,25,매헌시민의숲.양재꽃시장,31002,2803403,1504,58774,N,하행
M6405,165000215,26,양재IC(미정차),31085,2807535,1021,59795,N,하행
M6405,165000215,27,선암IC(미정차),31086,2807528,1908,61703,N,하행
M6405,165000215,28,선바위역2번출구(광역),66001,2800108,2072,63775,N,하행
M6405,165000215,29,대공원고가(미정차),66009,2807508,1766,65541,N,하행
M6405,165000215,30,과천IC(미정차),66010,2807498,2025,67566,N,하행
M6405,165000215,31,과천터널(미정차),72009,2807501,1599,69165,N,하행
M6405,165000215,32,학의JC(미정차),72005,2807560,2719,71884,N,하행
M6405,165000215,33,평촌IC(미정차),54013,2807559,3309,75193,N,하행
M6405,165000215,34,조남JC(미정차),70211,2807555,8815,84008,N,하행
M6405,165000215,35,물왕TG(미정차),70222,2807516,5957,89965,N,하행
M6405,165000215,36,연성IC(미정차),70212,2807541,2564,92529,N,하행
M6405,165000215,37,월곶JC(미정차),70213,2807545,4166,96695,N,하행
M6405,165000215,38,정왕IC(미정차),92007,2807552,2122,98817,N,하행
M6405,165000215,39,성지아파트,38017,2802597,6759,105576,N,하행
M6405,165000215,40,먼우금초등학교,38021,2802596,948,106524,N,하행
M6405,165000215,41,송도1동행정복지센터,38012,2802602,355,106879,N,하행
M6405,165000215,42,송도더샵하버뷰2차,38467,2805059,904,107783,N,하행
M6405,165000215,43,송도센트럴파크,38452,2803771,1732,109515,N,하행
M6405,165000215,44,웰카운티,38352,2802359,2527,112042,N,하행
M6405,165000215,45,인천대학교공과대학,38499,2805654,2258,114300,N,하행
